date,idx,nonrspo,composite
2013-05-28,1074.920758,1095.346714,1028.981305
2013-05-29,1069.199521,1089.377192,1023.980779
2013-05-30,1067.142405,1076.087072,1017.605504
2013-05-31,1058.332673,1062.532769,1006.897638
2013-06-03,1055.391989,1051.892305,1002.964139
2013-06-04,1069.794398,1052.126077,1014.084134
2013-06-05,1063.69953,1058.108948,1010.897464
2013-06-06,1068.322358,1060.860377,1013.125732
2013-06-07,1069.069638,1061.605426,1012.700386
2013-06-10,1070.57682,1061.146711,1013.443392
2013-06-11,1072.903854,1052.231505,1010.26239
2013-06-12,1059.676633,1056.235858,1006.154232
2013-06-13,1047.936561,1037.990023,993.2119934
2013-06-14,1070.323858,1049.69145,1010.999922
2013-06-17,1073.699166,1053.727038,1015.144286
2013-06-18,1076.620051,1049.382706,1013.150267
2013-06-19,1081.352152,1047.597347,1016.282561
2013-06-20,1047.000876,1020.534714,985.6088292
2013-06-21,1008.658364,1022.006641,968.993805
2013-06-24,1006.319114,995.0510812,950.9138061
2013-06-25,1021.739967,997.386042,962.3292574
2013-06-26,1025.95108,1001.654793,965.0243517
2013-06-27,1035.892621,1012.706559,974.0181198
2013-06-28,1045.452622,1021.213146,983.1480837
2013-07-01,1046.357363,1023.06013,985.4945549
2013-07-02,1042.875396,1023.044203,982.1451452
2013-07-03,1035.421395,1014.31198,975.1369743
2013-07-04,1034.330177,1021.14198,976.5524383
2013-07-05,1033.880132,1020.677002,975.9831177
2013-07-08,1026.656321,1013.522242,967.5047321
2013-07-09,1030.743272,1019.513388,972.5982172
2013-07-10,1034.929921,1022.017204,975.9776228
2013-07-11,1047.706052,1027.203815,988.1255776
2013-07-12,1048.765506,1022.545405,987.9959993
2013-07-15,1039.673038,1017.749721,979.5931132
2013-07-16,1039.990837,1018.752796,979.7238303
2013-07-17,1037.778321,1020.094169,976.1789146
2013-07-18,1036.080086,1021.964608,972.8574167
2013-07-19,1039.461843,1021.714971,976.4951755
2013-07-22,1044.169014,1026.486275,980.7274287
2013-07-23,1052.263999,1027.738347,984.1389967
2013-07-24,1052.449657,1020.450143,982.6951782
2013-07-25,1044.66418,1014.58413,976.6668174
2013-07-26,1041.060148,1012.791985,974.8716739
2013-07-29,1032.54946,1000.057105,966.0606247
2013-07-30,1030.674254,995.697416,964.7749532
2013-07-31,1017.925704,976.2579604,950.0292442
2013-08-01,1018.607914,982.3485885,951.7836292
2013-08-02,1023.928966,983.6421135,955.3492349
2013-08-05,1027.413574,994.9514488,960.0431765
2013-08-06,1026.927192,994.9666801,959.6918467
2013-08-07,1025.111603,989.2207199,956.4356654
2013-08-08,1027.879143,990.2747945,958.8278886
2013-08-09,1029.218059,989.7088859,959.3756088
2013-08-12,1027.101097,988.0476726,957.7589096
2013-08-13,1022.353638,989.9072982,955.0119569
2013-08-14,1018.815866,983.4743899,949.6389777
2013-08-15,1017.766849,980.8955269,947.840651
2013-08-16,1014.882251,980.8654685,946.2199705
2013-08-19,1013.005321,975.9698006,943.5042221
2013-08-20,1007.66784,955.2422979,935.0872987
2013-08-21,1000.011467,954.5479382,929.3189841
2013-08-22,990.842639,940.3102638,921.6610409
2013-08-23,995.6965918,943.337376,924.9624892
2013-08-26,1021.01275,947.9529984,946.6316131
2013-08-27,1007.329781,923.4794966,932.0723111
2013-08-28,994.9597755,912.4850169,923.2706047
2013-08-29,1005.318738,926.4211953,934.4395363
2013-08-30,1015.011941,937.3788054,945.3898311
2013-09-02,1014.845219,936.1908272,945.4855681
2013-09-03,1014.160078,939.4839191,943.8329361
2013-09-04,1005.822558,932.9428611,936.0843079
2013-09-05,1004.839187,927.6529384,935.0624949
2013-09-06,1008.569757,924.4315354,938.1549195
2013-09-09,1020.686777,933.6932089,949.4179996
2013-09-10,1029.504458,944.0997222,958.9787312
2013-09-11,1032.255826,946.6287097,960.6634306
2013-09-12,1032.48864,950.5004865,963.4027903
2013-09-13,1028.687314,946.5594621,959.5646984
2013-09-16,1036.913565,949.0895109,965.6205985
2013-09-17,1040.021944,956.0103351,969.416923
2013-09-18,1042.480278,961.5245596,972.2938126
2013-09-19,1069.491103,992.2996048,998.3348554
2013-09-20,1059.387436,980.8972981,985.1850881
