latitude,longitude,acq_date
-13.87765,-45.64886,7/1/20
-13.8781,-45.64481,7/1/20
-13.87856,-45.64068,7/1/20
-11.52852,-45.43283,7/1/20
-11.52899,-45.42901,7/1/20
-11.55807,-56.1798,7/1/20
-11.69458,-59.22075,7/1/20
-11.69534,-59.21622,7/1/20
-11.69829,-59.22139,7/1/20
-8.09534,-46.40658,7/1/20
-8.09575,-46.40359,7/1/20
-8.10036,-46.40721,7/1/20
-8.10077,-46.40426,7/1/20
-8.10117,-46.40134,7/1/20
-9.17228,-45.13731,7/1/20
-9.17277,-45.13368,7/1/20
-13.65615,-52.64798,7/1/20
-13.65977,-52.64854,7/1/20
-13.65916,-52.65284,7/1/20
-9.17189,-45.13755,7/1/20
-9.17235,-45.13393,7/1/20
-13.12323,-56.59069,7/1/20
-13.12655,-56.59125,7/1/20
-9.41483,-55.81327,7/1/20
-11.06859,-48.18094,7/1/20
-10.35558,-56.22067,7/1/20
-10.60982,-55.79694,7/1/20
-8.74808,-46.10089,7/1/20
-8.75366,-46.0985,7/1/20
-8.75408,-46.09536,7/1/20
-10.92077,-56.48586,7/1/20
-10.92412,-56.48641,7/1/20
-10.92748,-56.48696,7/1/20
-11.01537,-49.61649,7/1/20
-11.01956,-49.61708,7/1/20
-10.9104,-56.44356,7/1/20
-11.0148,-59.02071,7/1/20
-13.3153,-50.06353,7/1/20
-10.79807,-57.642,7/1/20
-11.78332,-57.22454,7/1/20
-11.84845,-57.27714,7/1/20
-11.85124,-57.28144,7/1/20
-11.85186,-57.2777,7/1/20
-11.85063,-57.28518,7/1/20
-11.85247,-57.27398,7/1/20
-11.85403,-57.28574,7/1/20
-11.85526,-57.27826,7/1/20
-11.85465,-57.282,7/1/20
-11.82574,-58.13308,7/1/20
-11.82641,-58.12909,7/1/20
-11.82859,-58.13768,7/1/20
-11.82993,-58.12967,7/1/20
-11.8306,-58.12569,7/1/20
-11.83344,-58.13026,7/1/20
-10.19952,-49.77921,7/1/20
-11.36856,-54.83702,7/1/20
-10.01067,-52.16555,7/1/20
-10.03322,-52.06424,7/1/20
-10.03618,-52.06888,7/1/20
-10.03485,-52.06736,7/1/20
-9.85741,-47.39014,7/1/20
-9.8581,-47.38492,7/1/20
-9.8636,-47.3803,7/1/20
-9.86771,-47.3862,7/1/20
-9.86842,-47.38091,7/1/20
-9.87253,-47.38681,7/1/20
-12.74349,-55.23016,7/1/20
-12.74681,-55.23069,7/1/20
-12.12462,-55.04043,7/1/20
-12.12517,-55.0369,7/1/20
-12.12739,-55.04449,7/1/20
-12.12794,-55.04096,7/1/20
-12.12849,-55.03743,7/1/20
-12.13071,-55.04502,7/1/20
-12.13181,-55.03796,7/1/20
-12.54524,-55.06394,7/1/20
-12.5491,-55.06093,7/1/20
-9.83863,-56.4099,7/1/20
-9.84199,-56.41045,7/1/20
-9.84536,-56.411,7/1/20
-10.06146,-57.09,7/1/20
-10.06427,-57.09434,7/1/20
-10.06832,-57.09113,7/1/20
-10.07175,-57.09169,7/1/20
-10.7736,-56.21906,7/1/20
-4.44075,-47.45387,7/1/20
-10.69455,-52.02149,7/1/20
-9.49853,-58.38438,7/1/20
-10.67976,-52.06388,7/1/20
-9.46258,-48.49918,7/1/20
-4.44142,-47.44947,7/1/20
-9.2334,-47.53024,7/1/20
-4.03274,-48.00186,7/1/20
-12.05584,-54.23197,7/1/20
-10.69094,-52.02093,7/1/20
-8.87209,-49.22072,7/1/20
-10.16608,-52.6512,7/1/20
-9.50218,-58.38499,7/1/20
-7.82724,-55.34852,7/1/20
-10.73245,-52.04018,7/1/20
-10.68425,-52.06734,7/1/20
-8.73272,-48.20229,7/1/20
-12.04967,-54.22729,7/1/20
-10.67255,-52.0628,7/1/20
-13.53608,-56.60033,7/1/20
-9.22868,-47.52963,7/1/20
-12.35629,-54.14709,7/1/20
-11.03701,-52.12881,7/1/20
-10.60466,-51.73997,7/1/20
-10.77637,-56.22317,7/1/20
-6.30461,-45.41501,7/1/20
-9.34249,-57.97383,7/1/20
-10.78506,-55.93352,7/1/20
-9.43108,-58.29505,7/1/20
-11.92813,-54.06281,7/1/20
-4.2064,-47.76225,7/1/20
-10.16955,-52.38214,7/1/20
-7.08637,-55.09378,7/1/20
-10.99706,-54.03511,7/1/20
-10.67616,-52.06335,7/1/20
-2.22076,-46.60611,7/1/20
-10.60833,-51.7405,7/1/20
-10.23275,-52.3446,7/1/20
-4.20581,-47.76631,7/1/20
-10.69033,-52.02515,7/1/20
-10.67193,-52.06701,7/1/20
-10.68125,-52.0626,7/1/20
-10.56185,-51.75125,7/1/20
-13.54272,-56.60144,7/1/20
-10.54607,-53.96506,7/1/20
-10.71519,-54.47698,7/1/20
-4.79508,-47.78955,7/1/20
-6.60144,-47.56369,7/1/20
-13.53493,-56.60748,7/1/20
-10.78563,-55.92999,7/1/20
-12.10475,-60.75508,7/1/20
-10.68186,-52.05838,7/1/20
-9.808,-49.46505,7/1/20
-10.69394,-52.02571,7/1/20
-9.4978,-58.38869,7/1/20
-10.18591,-52.75771,7/1/20
-4.03333,-47.998,7/1/20
-10.56248,-51.74694,7/1/20
-11.45633,-54.40035,7/1/20
-8.61493,-55.05263,7/1/20
-7.04643,-55.42968,7/1/20
-12.04576,-54.2304,7/1/20
-9.33891,-57.97321,7/1/20
-10.60036,-51.74376,7/1/20
-5.49069,-43.34998,7/1/20
-5.49128,-43.34571,7/1/20
-4.15331,-48.12202,7/1/20
-10.16842,-52.65952,7/1/20
-9.8643,-55.18439,7/1/20
-3.04395,-49.36797,7/1/20
-10.69265,-52.02705,7/1/20
-10.99995,-54.8285,7/1/20
-10.71128,-54.45825,7/1/20
-10.601,-51.73943,7/1/20
-10.67553,-52.06755,7/1/20
-4.03362,-47.99768,7/1/20
-10.68972,-52.02937,7/1/20
-9.82493,-57.44599,7/1/20
-12.07854,-57.45711,7/1/20
-10.73306,-52.03597,7/1/20
-8.73208,-48.20676,7/1/20
-4.25002,-47.76467,7/1/20
-7.90281,-55.36448,7/1/20
-8.56133,-55.13295,7/1/20
-10.37592,-52.45165,7/1/20
-8.56078,-55.13643,7/1/20
-10.68904,-52.02649,7/1/20
-10.56391,-53.71199,7/1/20
-4.30078,-47.82524,7/1/20
-8.2222,-49.02964,7/1/20
-11.60196,-49.30383,7/1/20
-13.53826,-56.60803,7/1/20
-4.03695,-48.00253,7/1/20
-11.60255,-49.29962,7/1/20
-13.5394,-56.60089,7/1/20
-12.04912,-54.23093,7/1/20
-11.60139,-49.30798,7/1/20
-9.44764,-48.86431,7/1/20
-7.82391,-55.34799,7/1/20
-10.16957,-52.65173,7/1/20
-12.0745,-57.4603,7/1/20
-9.43179,-58.29078,7/1/20
-6.30505,-45.41183,7/1/20
-9.44822,-48.86013,7/1/20
-13.53883,-56.60446,7/1/20
-8.72761,-48.20615,7/1/20
-13.53551,-56.6039,7/1/20
-9.42816,-58.29013,7/1/20
-10.68968,-52.02227,7/1/20
-10.71187,-54.47646,7/1/20
-10.78619,-55.92645,7/1/20
-10.60402,-51.74429,7/1/20
-8.56354,-55.14044,7/1/20
-10.71574,-54.47344,7/1/20
-4.79446,-47.79367,7/1/20
-10.72945,-52.03543,7/1/20
-10.68065,-52.06681,7/1/20
-10.68039,-52.05968,7/1/20
-9.46589,-48.50217,7/1/20
-10.72822,-52.04383,7/1/20
-5.27106,-60.41629,7/1/20
-4.65401,-47.71344,7/1/20
-10.1655,-52.65512,7/1/20
